idx,n,m,heur_greedy,heur_ls,exact,gap_exact_minus_ls,status,solve_time_sec,graph6
130,30,84,24,24,24,0,OPTIMAL,4.2207,]|CGw[uBH@cBW@o@_B_?h?DQWPG?AG??K??L??Qw?AO_?H@??OB??OA_??@W???T??O?oCo???
131,30,84,22,24,24,0,OPTIMAL,4.3561,]~s[[KF?wB_Fd?c?_gOGD@?cC?WA@??D???b???w??E_??H???U???S_??GW???F???SQ@ABK?
132,30,84,24,24,24,0,OPTIMAL,5.7278,]{E\Zsb?xD?T?J?hYG?_@_?C??W?@g??k??F???w??D_??R??@g??@Go?DoC??o???E?EO?O?O
133,30,84,25,25,25,0,OPTIMAL,0.6865,]}kzgnOoM?oB?D?@_?W?D??W?@G?I??~{?G@?C?W??B_A?I???P???D_??Ag??Ae?E?K??K@??
134,30,84,24,24,24,0,OPTIMAL,5.1388,]{kkGSL@wEoWEOC?_GWAH?PEO@O??g?Gc?CP?@?W?GA_??J???T_@?OO??wG?Bg???P?Fe????
135,30,84,24,24,24,0,OPTIMAL,2.2452,]}mk[Uc]?oi?S@?@??G?I??V?Dc_?G_GC?CP?@?W??N???d??@B???J??N__??@H??CGK????w
136,30,84,23,23,23,0,OPTIMAL,13.2826,]~uWw[QCG@_D?B??_?w?F?HG?`g@UG?AC?@D??@g??F_??F???L???F???@g?SC?En???A_??G
137,30,84,22,23,23,0,OPTIMAL,15.1294,]{kox[cWG@gBoJo?_DS@CD??C_GG?G??C??F??BWG?U_C@_?GC@?G?@q?A?O_?OL????mO???_
138,30,84,24,24,24,0,OPTIMAL,3.8937,]{m[WKJAWA`BBRA@_w?I@@OCC?oG?lO?A_?@I??Po??K??@C??B???@g???m???Fc???CO??AW
139,30,84,26,26,26,0,OPTIMAL,0.2185,]|CxXKF?wD`?A`?`_OW?F?_gAAGCAC_?A??@_??W??BO??Cm`OzW???w???]???@o???C???B_
140,30,84,23,25,25,0,OPTIMAL,0.7912,]|CwwkC?G?_B?F?L?Ag?h?DC?SG@a?HI?CK@HE?GG?@k??AOK?DoG??`c??Ko??BB???GG???g
